cell_index,x_index,y_index,x_m,y_m,elevation_observations,elevation_median,slope_observations,slope_median,accessibility_observations,accessibility_median
92,92,0,-1.275,1.485,0,nan,147,0.0,147,0.0
93,93,0,-1.3049999999999997,1.485,0,nan,147,0.0,147,0.0
94,94,0,-1.335,1.485,0,nan,147,0.0,147,0.0
95,95,0,-1.3649999999999998,1.485,0,nan,147,0.0,147,0.0
96,96,0,-1.395,1.485,0,nan,147,0.0,147,0.0
97,97,0,-1.4249999999999998,1.485,0,nan,147,0.0,147,0.0
98,98,0,-1.455,1.485,0,nan,147,0.0,147,0.0
99,99,0,-1.4849999999999999,1.485,0,nan,147,0.0,147,0.0
100,0,1,1.485,1.455,0,nan,147,0.0,147,0.0
101,1,1,1.455,1.455,0,nan,147,0.0,147,0.0
102,2,1,1.425,1.455,0,nan,147,0.0,147,0.0
103,3,1,1.395,1.455,0,nan,147,0.0,147,0.0
104,4,1,1.365,1.455,0,nan,147,0.0,147,0.0
105,5,1,1.335,1.455,0,nan,147,0.0,147,0.0
106,6,1,1.305,1.455,0,nan,147,0.0,147,0.0
107,7,1,1.275,1.455,0,nan,147,0.0,147,0.0
108,8,1,1.245,1.455,0,nan,147,0.0,147,0.0
109,9,1,1.215,1.455,0,nan,147,0.0,147,0.0
110,10,1,1.185,1.455,0,nan,147,0.0,147,0.0
111,11,1,1.155,1.455,0,nan,147,0.0,147,0.0
112,12,1,1.125,1.455,0,nan,147,0.0,147,0.0
113,13,1,1.095,1.455,0,nan,147,0.0,147,0.0
114,14,1,1.065,1.455,0,nan,147,0.0,147,0.0
115,15,1,1.0350000000000001,1.455,0,nan,147,0.0,147,0.0
116,16,1,1.005,1.455,0,nan,147,0.0,147,0.0
117,17,1,0.975,1.455,0,nan,147,0.0,147,0.0
118,18,1,0.9450000000000001,1.455,0,nan,147,0.0,147,0.0
119,19,1,0.915,1.455,0,nan,147,0.0,147,0.0
120,20,1,0.885,1.455,0,nan,147,0.0,147,0.0
121,21,1,0.855,1.455,0,nan,147,0.0,147,0.0
122,22,1,0.8250000000000001,1.455,0,nan,147,0.0,147,0.0
123,23,1,0.795,1.455,0,nan,147,0.0,147,0.0
124,24,1,0.765,1.455,0,nan,147,0.0,147,0.0
125,25,1,0.735,1.455,0,nan,147,0.0,147,0.0
126,26,1,0.7050000000000001,1.455,0,nan,147,0.0,147,0.0
127,27,1,0.675,1.455,0,nan,147,0.0,147,0.0
128,28,1,0.645,1.455,0,nan,147,0.0,147,0.0
129,29,1,0.615,1.455,0,nan,147,0.0,147,0.0
130,30,1,0.5850000000000001,1.455,0,nan,147,0.0,147,0.0
131,31,1,0.555,1.455,0,nan,147,0.0,147,0.0
132,32,1,0.525,1.455,0,nan,147,0.0,147,0.0
133,33,1,0.4950000000000001,1.455,0,nan,147,0.0,147,0.0
134,34,1,0.4650000000000001,1.455,0,nan,147,0.0,147,0.0
135,35,1,0.43500000000000005,1.455,0,nan,147,0.0,147,0.0
136,36,1,0.405,1.455,0,nan,147,0.0,147,0.0
137,37,1,0.375,1.455,0,nan,147,0.0,147,0.0
138,38,1,0.345,1.455,0,nan,147,0.0,147,0.0
139,39,1,0.31499999999999995,1.455,0,nan,147,0.0,147,0.0
140,40,1,0.28500000000000014,1.455,0,nan,147,0.0,147,0.0
141,41,1,0.2550000000000001,1.455,0,nan,147,0.0,147,0.0
142,42,1,0.2250000000000001,1.455,0,nan,147,0.0,147,0.0
143,43,1,0.19500000000000006,1.455,0,nan,147,0.0,147,0.0
144,44,1,0.16500000000000004,1.455,0,nan,147,0.0,147,0.0
145,45,1,0.135,1.455,0,nan,147,0.0,147,0.0
146,46,1,0.10499999999999998,1.455,0,nan,147,0.0,147,0.0
147,47,1,0.07499999999999996,1.455,0,nan,147,0.0,147,0.0
148,48,1,0.04500000000000015,1.455,0,nan,147,0.0,147,0.0
149,49,1,0.015000000000000124,1.455,0,nan,147,0.0,147,0.0
150,50,1,-0.014999999999999902,1.455,0,nan,147,0.0,147,0.0
151,51,1,-0.04499999999999993,1.455,0,nan,147,0.0,147,0.0
152,52,1,-0.07499999999999996,1.455,0,nan,147,0.0,147,0.0
153,53,1,-0.10499999999999998,1.455,0,nan,147,0.0,147,0.0
154,54,1,-0.135,1.455,0,nan,147,0.0,147,0.0
155,55,1,-0.16500000000000004,1.455,0,nan,147,0.0,147,0.0
156,56,1,-0.19499999999999984,1.455,0,nan,147,0.0,147,0.0
157,57,1,-0.22499999999999987,1.455,0,nan,147,0.0,147,0.0
158,58,1,-0.2549999999999999,1.455,0,nan,147,0.0,147,0.0
159,59,1,-0.2849999999999999,1.455,0,nan,147,0.0,147,0.0
160,60,1,-0.31499999999999995,1.455,0,nan,147,0.0,147,0.0
161,61,1,-0.345,1.455,0,nan,147,0.0,147,0.0
162,62,1,-0.375,1.455,0,nan,147,0.0,147,0.0
163,63,1,-0.405,1.455,0,nan,147,0.0,147,0.0
164,64,1,-0.43499999999999983,1.455,0,nan,147,0.0,147,0.0
165,65,1,-0.46499999999999986,1.455,0,nan,147,0.0,147,0.0
166,66,1,-0.4949999999999999,1.455,0,nan,147,0.0,147,0.0
167,67,1,-0.5249999999999999,1.455,0,nan,147,0.0,147,0.0
168,68,1,-0.5549999999999997,1.455,0,nan,147,0.0,147,0.0
169,69,1,-0.585,1.455,0,nan,147,0.0,147,0.0
170,70,1,-0.6149999999999998,1.455,0,nan,147,0.0,147,0.0
171,71,1,-0.645,1.455,0,nan,147,0.0,147,0.0
172,72,1,-0.6749999999999998,1.455,0,nan,147,0.0,147,0.0
173,73,1,-0.7050000000000001,1.455,0,nan,147,0.0,147,0.0
174,74,1,-0.7349999999999999,1.455,0,nan,147,0.0,147,0.0
175,75,1,-0.7650000000000001,1.455,0,nan,147,0.0,147,0.0
176,76,1,-0.7949999999999999,1.455,0,nan,147,0.0,147,0.0
177,77,1,-0.8249999999999997,1.455,0,nan,147,0.0,147,0.0
178,78,1,-0.855,1.455,0,nan,147,0.0,147,0.0
179,79,1,-0.8849999999999998,1.455,0,nan,147,0.0,147,0.0
180,80,1,-0.915,1.455,0,nan,147,0.0,147,0.0
181,81,1,-0.9449999999999998,1.455,0,nan,147,0.0,147,0.0
182,82,1,-0.9750000000000001,1.455,0,nan,147,0.0,147,0.0
183,83,1,-1.005,1.455,0,nan,147,0.0,147,0.0
184,84,1,-1.0349999999999997,1.455,0,nan,147,0.0,147,0.0
185,85,1,-1.065,1.455,0,nan,147,0.0,147,0.0
186,86,1,-1.0949999999999998,1.455,0,nan,147,0.0,147,0.0
187,87,1,-1.125,1.455,0,nan,147,0.0,147,0.0
188,88,1,-1.1549999999999998,1.455,0,nan,147,0.0,147,0.0
189,89,1,-1.185,1.455,0,nan,147,0.0,147,0.0
190,90,1,-1.2149999999999999,1.455,0,nan,147,0.0,147,0.0
191,91,1,-1.245,1.455,0,nan,147,0.0,147,0.0
192,92,1,-1.275,1.455,0,nan,147,0.0,147,0.0
193,93,1,-1.3049999999999997,1.455,0,nan,147,0.0,147,0.0
194,94,1,-1.335,1.455,0,nan,147,0.0,147,0.0
195,95,1,-1.3649999999999998,1.455,0,nan,147,0.0,147,0.0
196,96,1,-1.395,1.455,0,nan,147,0.0,147,0.0
197,97,1,-1.4249999999999998,1.455,0,nan,147,0.0,147,0.0
198,98,1,-1.455,1.455,0,nan,147,0.0,147,0.0
199,99,1,-1.4849999999999999,1.455,0,nan,147,0.0,147,0.0
200,0,2,1.485,1.425,0,nan,147,0.0,147,0.0
201,1,2,1.455,1.425,0,nan,147,0.0,147,0.0
202,2,2,1.425,1.425,0,nan,147,0.0,147,0.0
203,3,2,1.395,1.425,0,nan,147,0.0,147,0.0
204,4,2,1.365,1.425,0,nan,147,0.0,147,0.0
205,5,2,1.335,1.425,0,nan,147,0.0,147,0.0
206,6,2,1.305,1.425,0,nan,147,0.0,147,0.0
207,7,2,1.275,1.425,0,nan,147,0.0,147,0.0
208,8,2,1.245,1.425,0,nan,147,0.0,147,0.0
209,9,2,1.215,1.425,0,nan,147,0.0,147,0.0
210,10,2,1.185,1.425,0,nan,147,0.0,147,0.0
211,11,2,1.155,1.425,0,nan,147,0.0,147,0.0
212,12,2,1.125,1.425,0,nan,147,0.0,147,0.0
213,13,2,1.095,1.425,0,nan,147,0.0,147,0.0
214,14,2,1.065,1.425,0,nan,147,0.0,147,0.0
215,15,2,1.0350000000000001,1.425,0,nan,147,0.0,147,0.0
216,16,2,1.005,1.425,0,nan,147,0.0,147,0.0
217,17,2,0.975,1.425,0,nan,147,0.0,147,0.0
218,18,2,0.9450000000000001,1.425,0,nan,147,0.0,147,0.0
219,19,2,0.915,1.425,0,nan,147,0.0,147,0.0
220,20,2,0.885,1.425,0,nan,147,0.0,147,0.0
221,21,2,0.855,1.425,0,nan,147,0.0,147,0.0
222,22,2,0.8250000000000001,1.425,0,nan,147,0.0,147,0.0
223,23,2,0.795,1.425,0,nan,147,0.0,147,0.0
224,24,2,0.765,1.425,0,nan,147,0.0,147,0.0
225,25,2,0.735,1.425,0,nan,147,0.0,147,0.0
226,26,2,0.7050000000000001,1.425,0,nan,147,0.0,147,0.0
227,27,2,0.675,1.425,0,nan,147,0.0,147,0.0
228,28,2,0.645,1.425,0,nan,147,0.0,147,0.0
229,29,2,0.615,1.425,0,nan,147,0.0,147,0.0
230,30,2,0.5850000000000001,1.425,0,nan,147,0.0,147,0.0
231,31,2,0.555,1.425,0,nan,147,0.0,147,0.0
232,32,2,0.525,1.425,0,nan,147,0.0,147,0.0
233,33,2,0.4950000000000001,1.425,0,nan,147,0.0,147,0.0
234,34,2,0.4650000000000001,1.425,0,nan,147,0.0,147,0.0
235,35,2,0.43500000000000005,1.425,0,nan,147,0.0,147,0.0
236,36,2,0.405,1.425,0,nan,147,0.0,147,0.0
237,37,2,0.375,1.425,0,nan,147,0.0,147,0.0
238,38,2,0.345,1.425,0,nan,147,0.0,147,0.0
239,39,2,0.31499999999999995,1.425,0,nan,147,0.0,147,0.0
240,40,2,0.28500000000000014,1.425,0,nan,147,0.0,147,0.0
241,41,2,0.2550000000000001,1.425,0,nan,147,0.0,147,0.0
242,42,2,0.2250000000000001,1.425,0,nan,147,0.0,147,0.0
243,43,2,0.19500000000000006,1.425,0,nan,147,0.0,147,0.0
244,44,2,0.16500000000000004,1.425,0,nan,147,0.0,147,0.0
245,45,2,0.135,1.425,0,nan,147,0.0,147,0.0
246,46,2,0.10499999999999998,1.425,0,nan,147,0.0,147,0.0
247,47,2,0.07499999999999996,1.425,0,nan,147,0.0,147,0.0
248,48,2,0.04500000000000015,1.425,0,nan,147,0.0,147,0.0
249,49,2,0.015000000000000124,1.425,0,nan,147,0.0,147,0.0
250,50,2,-0.014999999999999902,1.425,0,nan,147,0.0,147,0.0
251,51,2,-0.04499999999999993,1.425,0,nan,147,0.0,147,0.0
252,52,2,-0.07499999999999996,1.425,0,nan,147,0.0,147,0.0
253,53,2,-0.10499999999999998,1.425,0,nan,147,0.0,147,0.0
254,54,2,-0.135,1.425,0,nan,147,0.0,147,0.0
255,55,2,-0.16500000000000004,1.425,0,nan,147,0.0,147,0.0
256,56,2,-0.19499999999999984,1.425,0,nan,147,0.0,147,0.0
257,57,2,-0.22499999999999987,1.425,0,nan,147,0.0,147,0.0
258,58,2,-0.2549999999999999,1.425,0,nan,147,0.0,147,0.0
259,59,2,-0.2849999999999999,1.425,0,nan,147,0.0,147,0.0
260,60,2,-0.31499999999999995,1.425,0,nan,147,0.0,147,0.0
261,61,2,-0.345,1.425,0,nan,147,0.0,147,0.0
262,62,2,-0.375,1.425,0,nan,147,0.0,147,0.0
263,63,2,-0.405,1.425,0,nan,147,0.0,147,0.0
264,64,2,-0.43499999999999983,1.425,0,nan,147,0.0,147,0.0
265,65,2,-0.46499999999999986,1.425,0,nan,147,0.0,147,0.0
266,66,2,-0.4949999999999999,1.425,0,nan,147,0.0,147,0.0
267,67,2,-0.5249999999999999,1.425,0,nan,147,0.0,147,0.0
268,68,2,-0.5549999999999997,1.425,0,nan,147,0.0,147,0.0
269,69,2,-0.585,1.425,0,nan,147,0.0,147,0.0
270,70,2,-0.6149999999999998,1.425,0,nan,147,0.0,147,0.0
271,71,2,-0.645,1.425,0,nan,147,0.0,147,0.0
272,72,2,-0.6749999999999998,1.425,0,nan,147,0.0,147,0.0
273,73,2,-0.7050000000000001,1.425,0,nan,147,0.0,147,0.0
274,74,2,-0.7349999999999999,1.425,0,nan,147,0.0,147,0.0
275,75,2,-0.7650000000000001,1.425,0,nan,147,0.0,147,0.0
276,76,2,-0.7949999999999999,1.425,0,nan,147,0.0,147,0.0
277,77,2,-0.8249999999999997,1.425,0,nan,147,0.0,147,0.0
278,78,2,-0.855,1.425,0,nan,147,0.0,147,0.0
279,79,2,-0.8849999999999998,1.425,0,nan,147,0.0,147,0.0
280,80,2,-0.915,1.425,0,nan,147,0.0,147,0.0
281,81,2,-0.9449999999999998,1.425,0,nan,147,0.0,147,0.0
282,82,2,-0.9750000000000001,1.425,0,nan,147,0.0,147,0.0
283,83,2,-1.005,1.425,0,nan,147,0.0,147,0.0
284,84,2,-1.0349999999999997,1.425,0,nan,147,0.0,147,0.0
285,85,2,-1.065,1.425,0,nan,147,0.0,147,0.0
286,86,2,-1.0949999999999998,1.425,0,nan,147,0.0,147,0.0
287,87,2,-1.125,1.425,0,nan,147,0.0,147,0.0
288,88,2,-1.1549999999999998,1.425,0,nan,147,0.0,147,0.0
289,89,2,-1.185,1.425,0,nan,147,0.0,147,0.0
290,90,2,-1.2149999999999999,1.425,0,nan,147,0.0,147,0.0
291,91,2,-1.245,1.425,0,nan,147,0.0,147,0.0
292,92,2,-1.275,1.425,0,nan,147,0.0,147,0.0
293,93,2,-1.3049999999999997,1.425,0,nan,147,0.0,147,0.0
294,94,2,-1.335,1.425,0,nan,147,0.0,147,0.0
295,95,2,-1.3649999999999998,1.425,0,nan,147,0.0,147,0.0
296,96,2,-1.395,1.425,0,nan,147,0.0,147,0.0
297,97,2,-1.4249999999999998,1.425,0,nan,147,0.0,147,0.0
298,98,2,-1.455,1.425,0,nan,147,0.0,147,0.0
299,99,2,-1.4849999999999999,1.425,0,nan,147,0.0,147,0.0
300,0,3,1.485,1.395,0,nan,147,0.0,147,0.0
301,1,3,1.455,1.395,0,nan,147,0.0,147,0.0
302,2,3,1.425,1.395,0,nan,147,0.0,147,0.0
303,3,3,1.395,1.395,0,nan,147,0.0,147,0.02199999988079071
304,4,3,1.365,1.395,0,nan,147,0.0,147,0.02199999988079071
305,5,3,1.335,1.395,0,nan,147,0.0,147,0.02199999988079071
306,6,3,1.305,1.395,0,nan,147,0.0,147,0.02199999988079071
307,7,3,1.275,1.395,0,nan,147,0.0,147,0.02199999988079071
308,8,3,1.245,1.395,0,nan,147,0.0,147,0.02199999988079071
309,9,3,1.215,1.395,0,nan,147,0.0,147,0.02199999988079071
310,10,3,1.185,1.395,0,nan,147,0.0,147,0.02199999988079071
311,11,3,1.155,1.395,0,nan,147,0.0,147,0.02199999988079071
312,12,3,1.125,1.395,0,nan,147,0.0,147,0.02199999988079071
313,13,3,1.095,1.395,0,nan,147,0.0,147,0.02199999988079071
314,14,3,1.065,1.395,0,nan,147,0.0,147,0.02199999988079071
315,15,3,1.0350000000000001,1.395,0,nan,147,0.0,147,0.02199999988079071
316,16,3,1.005,1.395,0,nan,147,0.0,147,0.02199999988079071
