component_id,cell_index,x_index,y_index,x_m,y_m,reference_elevation_m,candidate_elevation_m,elevation_delta_m,reference_observations,candidate_observations
1,4514,14,45,1.065,0.135,-0.7831507325172424,-0.6569985747337341,0.1261521577835083,142,135
1,4610,10,46,1.185,0.10499999999999998,-0.7936031818389893,-0.5894363522529602,0.20416682958602905,137,106
1,4611,11,46,1.155,0.10499999999999998,-0.7934735715389252,-0.5891332626342773,0.20434030890464783,140,117
1,4612,12,46,1.125,0.10499999999999998,-0.7934735715389252,-0.5887566804885864,0.20471689105033875,140,124
1,4613,13,46,1.095,0.10499999999999998,-0.7933769822120667,-0.5901350975036621,0.20324188470840454,141,146
1,4614,14,46,1.065,0.10499999999999998,-0.7832265794277191,-0.5930350422859192,0.19019153714179993,142,147
1,4615,15,46,1.0350000000000001,0.10499999999999998,-0.7741256356239319,-0.5954074263572693,0.1787182092666626,142,147
1,4710,10,47,1.185,0.07499999999999996,-0.794015645980835,-0.5888805389404297,0.20513510704040527,137,111
1,4711,11,47,1.155,0.07499999999999996,-0.7936031222343445,-0.5882793962955475,0.205323725938797,140,118
1,4712,12,47,1.125,0.07499999999999996,-0.7936031222343445,-0.5876217484474182,0.20598137378692627,140,125
1,4713,13,47,1.095,0.07499999999999996,-0.7936030626296997,-0.5886349380016327,0.20496812462806702,141,146
1,4714,14,47,1.065,0.07499999999999996,-0.7833552956581116,-0.5905516743659973,0.19280362129211426,142,147
1,4715,15,47,1.0350000000000001,0.07499999999999996,-0.7743922472000122,-0.5921176671981812,0.18227458000183105,142,147
1,4810,10,48,1.185,0.04500000000000015,-0.7940238118171692,-0.5887068510055542,0.205316960811615,137,119
1,4811,11,48,1.155,0.04500000000000015,-0.7938936948776245,-0.5879398584365845,0.20595383644104004,140,121
1,4812,12,48,1.125,0.04500000000000015,-0.7938936948776245,-0.5873884558677673,0.20650523900985718,140,125
1,4813,13,48,1.095,0.04500000000000015,-0.7938069105148315,-0.5885767936706543,0.20523011684417725,141,146
1,4814,14,48,1.065,0.04500000000000015,-0.7833661735057831,-0.5902949571609497,0.19307121634483337,142,147
1,4815,15,48,1.0350000000000001,0.04500000000000015,-0.7742035090923309,-0.5914098620414734,0.18279364705085754,142,147
1,4910,10,49,1.185,0.015000000000000124,-0.7936763167381287,-0.588481068611145,0.20519524812698364,137,122
1,4911,11,49,1.155,0.015000000000000124,-0.7935866117477417,-0.5878459811210632,0.20574063062667847,140,123
1,4912,12,49,1.125,0.015000000000000124,-0.7935866117477417,-0.5873345136642456,0.2062520980834961,140,125
1,4913,13,49,1.095,0.015000000000000124,-0.7935701608657837,-0.5878459811210632,0.20572417974472046,141,147
1,4914,14,49,1.065,0.015000000000000124,-0.7832610607147217,-0.5898059606552124,0.19345510005950928,142,147
1,4915,15,49,1.0350000000000001,0.015000000000000124,-0.7740113437175751,-0.5908893942832947,0.1831219494342804,142,147
1,5010,10,50,1.185,-0.014999999999999902,-0.7934779524803162,-0.5881814658641815,0.20529648661613464,137,128
