stamp_sec,stamp_nsec,record_time_ns,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0,0,8209923519802,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210028953521,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210131894364,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210239503625,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210332327718,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210439108937,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210520146195,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210619879288,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210718815257,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210837194310,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8210935705903,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211029810413,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211131674715,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211217860473,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211319045192,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211437022037,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211514547628,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211618903639,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211730795150,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211816780534,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8211955082172,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212035997514,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212118287772,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212218726991,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212318332626,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212431436304,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212531541564,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212618049031,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212740729585,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212839768511,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8212917633019,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213032331239,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213133490291,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213239363260,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213331000561,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213417763819,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213517153913,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213615182798,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213716354683,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213830153402,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8213936581996,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214038469048,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214117162473,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214231663234,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214335712703,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214412925628,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214514941013,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214616358190,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214735144410,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214830697045,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8214932165847,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215017042313,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215117216990,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215269891380,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215320510136,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215433689064,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215516540780,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215626736250,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215718014800,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215822189686,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8215930850989,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216027660123,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216119322507,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216240838145,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216318321152,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216431367372,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216543610633,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216637992226,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216735317611,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216818680328,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8216918007129,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8217018760473,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,8217119783316,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
