stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
8219,276905665,8219332317580,world,20,1,20,5,1,True,True,0.0
8219,377069258,8219432977007,world,24,1,24,6,1,True,True,0.0
8219,477041810,8219517507849,world,20,1,20,5,1,True,True,0.0
8219,576067028,8219638016653,world,24,1,24,6,1,True,True,0.0
8219,676972913,8219720015536,world,40,1,40,10,1,True,True,0.0
8219,777113173,8219835022047,world,28,1,28,7,1,True,True,0.0
8219,876920350,8219932733891,world,28,1,28,7,1,True,True,0.0
8219,976968735,8220041250818,world,20,1,20,5,1,True,True,0.0
8220,76936328,8220130848494,world,24,1,24,6,1,True,True,0.0
8220,176958463,8220246115464,world,20,1,20,5,1,True,True,0.0
8220,276959599,8220319782013,world,24,1,24,6,1,True,True,0.0
8220,377073900,8220422798982,world,24,1,24,6,1,True,True,0.0
8220,476880202,8220519691241,world,20,1,20,5,1,True,True,0.0
8220,577006170,8220648397629,world,28,1,28,7,1,True,True,0.0
8220,677049597,8220733672804,world,24,1,24,6,1,True,True,0.0
8220,776960607,8220835043606,world,16,1,16,4,1,True,True,0.0
8220,876993825,8220932172116,world,28,1,28,7,1,True,True,0.0
8220,976881502,8221035781168,world,44,1,44,11,1,True,True,0.0
8221,76900721,8221132397803,world,44,1,44,11,1,True,True,0.0
8221,176963689,8221235160730,world,24,1,24,6,1,True,True,0.0
8221,277076532,8221318593155,world,24,1,24,6,1,True,True,0.0
8221,377014084,8221457133960,world,28,1,28,7,1,True,True,0.0
8221,477093386,8221544101094,world,20,1,20,5,1,True,True,0.0
8221,577123396,8221619027060,world,28,1,28,7,1,True,True,0.0
8221,677060656,8221716861695,world,36,1,36,9,1,True,True,0.0
8221,776929666,8221837328207,world,28,1,28,7,1,True,True,0.0
8221,876883551,8221921448965,world,24,1,24,6,1,True,True,0.0
8221,976887019,8222018705517,world,24,1,24,6,1,True,True,0.0
8222,76979446,8222118091819,world,48,1,48,12,1,True,True,0.0
8222,176962789,8222221128621,world,20,1,20,5,1,True,True,0.0
8222,277055508,8222340166841,world,36,1,36,9,1,True,True,0.0
8222,376897976,8222418583474,world,36,1,36,9,1,True,True,0.0
8222,476890945,8222518896400,world,24,1,24,6,1,True,True,0.0
8222,576974913,8222620526202,world,36,1,36,9,1,True,True,0.0
8222,676945715,8222734418547,world,24,1,24,6,1,True,True,0.0
8222,777056225,8222834334224,world,28,1,28,7,1,True,True,0.0
8222,876999026,8222918672566,world,28,1,28,7,1,True,True,0.0
8222,976922578,8223035030952,world,24,1,24,6,1,True,True,0.0
8223,77026672,8223135331337,world,20,1,20,5,1,True,True,0.0
8223,177100723,8223218285429,world,24,1,24,6,1,True,True,0.0
8223,277014942,8223336851441,world,20,1,20,5,1,True,True,0.0
8223,377024827,8223414409115,world,20,1,20,5,1,True,True,0.0
8223,477072920,8223532818794,world,24,1,24,6,1,True,True,0.0
8223,576932305,8223642016763,world,32,1,32,8,1,True,True,0.0
8223,676983607,8223716995229,world,36,1,36,9,1,True,True,0.0
8223,776959950,8223818862156,world,24,1,24,6,1,True,True,0.0
8223,876931627,8223917819124,world,28,1,28,7,1,True,True,0.0
