stamp_sec,stamp_nsec,record_time_ns,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0,0,10415346638229,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10415432612529,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10415531857956,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10415635723383,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10415720462475,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10415839937028,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10415919204453,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416031246756,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416119107265,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416224469817,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416338099662,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416435843880,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416562323976,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416622804857,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416715537658,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416839650004,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10416917469012,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417034625398,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417132390908,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417240981919,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417319996760,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417423959604,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417572610744,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417637156001,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417734669510,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417830705728,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10417932244239,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418033177249,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418134362551,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418235034519,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418319091694,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418437365164,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418541511175,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418638695101,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418722309526,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418816880994,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10418933580048,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419057348810,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419129211984,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419219630410,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419316696794,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419435579265,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419540414484,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419640753660,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419731179086,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419832219138,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10419919679188,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420031036658,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420136145752,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420221536719,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420319925229,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420420254780,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420532706583,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420620979217,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
0,0,10420718045310,world,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5
