stamp_sec,stamp_nsec,frame_index,group_index,area_m2,z_range_m,planarity_error_m,duplicate_vertices,degenerate,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
10415,277051020,0,0,1.41551085334308,0.7075052857398987,0.0,1,True,5.000999927520752,0.0,0.0,0.999668538570404,0.025745408609509468,0.0,0.999668538570404,0.025745408609509468,-0.7075052857398987,0.999668538570404,0.025745408609509468,-0.7075052857398987
10415,277051020,0,1,0.1541559907521588,0.0,0.0,0,False,1.1699005365371704,0.7838605642318726,-0.7775052785873413,1.1854420900344849,0.18039767444133759,-0.7775052785873413,0.9301590919494629,0.17382313311100006,-0.7775052785873413,0.9146175384521484,0.7772859930992126,-0.7775052785873413
10415,277051020,0,2,0.21446270321257022,0.0,0.0,0,False,0.7672105431556702,-0.07339783757925034,-0.6116179823875427,0.7852953672409058,-0.7756142020225525,-0.6116179823875427,0.4800895154476166,-0.7834744453430176,-0.6116179823875427,0.4620046615600586,-0.08125809580087662,-0.6116179823875427
10415,277051020,0,3,0.12401719410860501,0.0,0.0,0,False,0.9260997176170349,0.27144476771354675,-0.6444533467292786,0.9348496794700623,-0.06830784678459167,-0.6444533467292786,0.5700696110725403,-0.07770237326622009,-0.6444533467292786,0.5613195896148682,0.26205024123191833,-0.6444533467292786
10415,277051020,0,4,0.15120456317631836,0.0,0.0,0,False,0.7722789645195007,0.11980115622282028,-0.6444533467292786,1.1693553924560547,0.1300274282693863,-0.6444533467292786,1.1791558265686035,-0.25051480531692505,-0.6444533467292786,0.7820794582366943,-0.26074108481407166,-0.6444533467292786
10415,277051020,0,5,0.15120455008779388,0.0,0.0,0,False,0.7820794582366943,-0.26074108481407166,-0.6444533467292786,0.7722790241241455,0.11980114877223969,-0.6444533467292786,1.1693553924560547,0.1300274282693863,-0.6444533467292786,1.1791558265686035,-0.25051480531692505,-0.6444533467292786
10415,277051020,0,6,0.12401719410860501,0.0,0.0,0,False,0.9348496794700623,-0.06830784678459167,-0.6444533467292786,0.5700696110725403,-0.07770237326622009,-0.6444533467292786,0.5613195896148682,0.26205024123191833,-0.6444533467292786,0.9260997176170349,0.27144476771354675,-0.6444533467292786
10415,277051020,0,7,2.545057255522498,0.0,0.0,0,False,0.4162437319755554,0.8208521008491516,-0.5041238069534302,0.45744720101356506,-0.7790355086326599,-0.5041238069534302,-1.1322709321975708,-0.8199770450592041,-0.5041238069534302,-1.1734744310379028,0.7799105048179626,-0.5041238069534302
10415,377014239,1,0,1.0585782657698921,0.7054865956306458,0.0,1,True,2.000999927520752,0.0,0.0,-0.9999815225601196,-0.006079753395169973,0.0,-0.9999815225601196,-0.006079753395169973,-0.7054865956306458,-0.9999815225601196,-0.006079753395169973,-0.7054865956306458
10415,377014239,1,1,0.14954569681721175,0.0,0.0,0,False,0.9306467175483704,0.1636359691619873,-0.7754865884780884,0.9269065856933594,0.7787955403327942,-0.7754865884780884,1.169998288154602,0.7802734971046448,-0.7754865884780884,1.1737383604049683,0.1651139259338379,-0.7754865884780884
10415,377014239,1,2,0.04732792925815499,0.0,0.0,0,False,1.0350043773651123,-0.2257295399904251,-0.585615873336792,1.0329041481018066,0.11971365660429001,-0.585615873336792,1.169905424118042,0.1205466091632843,-0.585615873336792,1.1720057725906372,-0.2248965948820114,-0.585615873336792
10415,377014239,1,3,0.492824152244296,0.0,0.0,0,False,0.9271690249443054,0.585621178150177,-0.6489866971969604,0.9354711771011353,-0.7798754572868347,-0.6489866971969604,0.5745725035667419,-0.782069742679596,-0.6489866971969604,0.5662703514099121,0.5834269523620605,-0.6489866971969604
10415,377014239,1,4,0.29711580430215,0.0,0.0,0,False,0.5699999928474426,0.6150000095367432,-0.5033195614814758,-1.1248462200164795,0.6046954393386841,-0.5033195614814758,-1.1259119510650635,0.7799944281578064,-0.5033195614814758,0.5689342021942139,0.7902989983558655,-0.5033195614814758
10415,377014239,1,5,2.6629940836733326,0.0,0.0,0,False,0.5626416802406311,0.7902606725692749,-0.5033195614814758,0.5721814632415771,-0.7788011431694031,-0.5033195614814758,-1.1249445676803589,-0.78911954164505,-0.5033195614814758,-1.1344844102859497,0.7799422144889832,-0.5033195614814758
10415,477413499,2,0,0.6827415022852013,0.6824002861976624,0.0,1,True,1.0010000467300415,0.0,0.0,-1.0,-1.296007781093067e-06,0.0,-1.0,-1.296007781093067e-06,-0.6824002861976624,-1.0,-1.296007781093067e-06,-0.6824002861976624
10415,477413499,2,1,0.39779921711742716,0.0,0.0,0,False,0.4650009274482727,-0.7800003290176392,-0.5743277668952942,0.46499890089035034,0.7799999117851257,-0.5743277668952942,0.7199983596801758,0.7800002694129944,-0.5743277668952942,0.7200003862380981,-0.7799999713897705,-0.5743277668952942
10415,477413499,2,2,0.6084023264421461,0.0,0.0,0,False,0.7800003290176392,-0.7800003886222839,-0.752400279045105,0.7799984216690063,0.7799999117851257,-0.752400279045105,1.1699998378753662,0.7800003886222839,-0.752400279045105,1.170001745223999,-0.7799999117851257,-0.752400279045105
10415,477413499,2,3,2.4102060450276426,0.0,0.0,0,False,0.42000001668930054,0.7800019383430481,-0.5054273009300232,0.4200020432472229,-0.7799999713897705,-0.5054273009300232,-1.1249998807907104,-0.7800019979476929,-0.5054273009300232,-1.1250020265579224,0.7799999117851257,-0.5054273009300232
10415,576877967,3,0,2.473421443029327,0.7066046595573425,0.0,1,True,6.000999927520752,0.0,0.0,-0.999841034412384,0.01782892644405365,0.0,-0.999841034412384,0.01782892644405365,-0.7066046595573425,-0.999841034412384,0.01782892644405365,-0.7066046595573425
10415,576877967,3,1,0.07221358784478671,0.0,0.0,0,False,0.5850143432617188,0.466604620218277,-0.5717438459396362,0.5718787312507629,-0.27003344893455505,-0.5717438459396362,0.4738786220550537,-0.26828593015670776,-0.5717438459396362,0.48701417446136475,0.46835213899612427,-0.5717438459396362
10415,576877967,3,2,0.11659465598022756,0.0,0.0,0,False,1.1769521236419678,0.7198759317398071,-0.7766046524047852,1.16729736328125,0.1784433275461197,-0.7766046524047852,0.9520211219787598,0.18228209018707275,-0.7766046524047852,0.9616758227348328,0.7237147092819214,-0.7766046524047852
10415,576877967,3,3,0.046665454105192516,0.0,0.0,0,False,1.0291364192962646,-0.22382551431655884,-0.5950658321380615,1.0350428819656372,0.10740652680397034,-0.5950658321380615,1.1758825778961182,0.10489510744810104,-0.5950658321380615,1.1699761152267456,-0.22633694112300873,-0.5950658321380615
10415,576877967,3,4,0.17895727454865673,0.0,0.0,0,False,0.9337434768676758,0.7799332141876221,-0.6653563380241394,0.92295241355896,0.17477615177631378,-0.6653563380241394,0.6273260712623596,0.18004769086837769,-0.6653563380241394,0.6381170749664307,0.7852047681808472,-0.6653563380241394
10415,576877967,3,5,0.5372911358635708,0.0,0.0,0,False,0.6294941902160645,0.46663516759872437,-0.5048366785049438,-1.0850427150726318,0.4972084164619446,-0.5048366785049438,-1.0794565677642822,0.8104827404022217,-0.5048366785049438,0.6350803971290588,0.7799094319343567,-0.5048366785049438
10415,576877967,3,6,2.5289599279968193,0.0,0.0,0,False,0.48909130692481995,0.779837965965271,-0.5048366785049438,0.46077242493629456,-0.8082771301269531,-0.5048366785049438,-1.1311500072479248,-0.7798903584480286,-0.5048366785049438,-1.1028311252593994,0.8082247376441956,-0.5048366785049438
10415,576877967,3,7,0.9719444104411243,0.0,0.0,0,False,-1.1215484142303467,-0.24144145846366882,-0.5048366785049438,0.6829598546028137,-0.2736190855503082,-0.5048366785049438,0.6733583211898804,-0.812067985534668,-0.5048366785049438,-1.1311500072479248,-0.7798902988433838,-0.5048366785049438
10415,576877967,3,8,0.03971321094475755,0.0,0.0,0,False,0.6803144812583923,-0.421967089176178,-0.5048366785049438,0.6738970279693604,-0.7818527221679688,-0.5048366785049438,0.5635825991630554,-0.7798855900764465,-0.5048366785049438,0.5699999928474426,-0.41999998688697815,-0.5048366785049438
10415,576877967,3,9,0.03971324151422628,0.0,0.0,0,False,0.5699999332427979,-0.41999998688697815,-0.5048366785049438,0.6803144812583923,-0.42196711897850037,-0.5048366785049438,0.6738970875740051,-0.7818527221679688,-0.5048366785049438,0.5635825395584106,-0.7798855900764465,-0.5048366785049438
10415,576877967,3,10,0.039713220616384604,0.0,0.0,0,False,0.5699999928474426,-0.4199999272823334,-0.5048366785049438,0.6803144812583923,-0.4219670295715332,-0.5048366785049438,0.6738970279693604,-0.7818527221679688,-0.5048366785049438,0.5635825991630554,-0.7798856496810913,-0.5048366785049438
10415,676882602,4,0,0.6979092564645799,0.6975774765014648,1.734723475976807e-18,1,True,1.0010000467300415,0.0,0.0,-0.9999024271965027,0.01396902371197939,0.0,-0.9999024271965027,0.01396902371197939,-0.6975774765014648,-0.9999024271965027,0.01396902371197939,-0.6975774765014648
10415,676882602,4,1,0.16413586405124736,0.0,0.0,0,False,1.1777520179748535,0.7798917293548584,-0.7675774693489075,1.1693246364593506,0.17665651440620422,-0.7675774693489075,0.8972850441932678,0.18045702576637268,-0.7675774693489075,0.9057124853134155,0.7836921811103821,-0.7675774693489075
