source_stamp_sec,source_stamp_nsec,pack_time_sec,pack_time_nsec,pack_latency_ms,time_count_ms,point_count,frame_len,head_id,layer_size,end_id
10420,777027114,10420,834616030,57.588916,116.0,28,376,12345,1,54321
10420,877182250,10420,921232581,44.050331,86.0,24,328,12345,1,54321
10420,976950343,10421,32667342,55.716999,112.0,28,376,12345,1,54321
10421,77341436,10421,160243230,82.901794,127.0,16,232,12345,1,54321
10421,176939196,10421,239933863,62.994667,80.0,16,232,12345,1,54321
10421,277065165,10421,338127248,61.062083,98.0,16,232,12345,1,54321
10421,377025758,10421,432577674,55.551916,95.0,24,328,12345,1,54321
10421,477371060,10421,564754312,87.383252,132.0,20,280,12345,1,54321
10421,577055153,10421,632350694,55.295541,67.0,20,280,12345,1,54321
10421,677081955,10421,723762245,46.68029,92.0,36,472,12345,1,54321
10421,777206465,10421,819465963,42.259498,95.0,20,280,12345,1,54321
10421,877171142,10421,918152556,40.981414,99.0,44,568,12345,1,54321
10421,977099943,10422,16478649,39.378706,98.0,24,328,12345,1,54321
10422,76929287,10422,121614868,44.685581,106.0,20,280,12345,1,54321
10422,177105713,10422,233655129,56.549416,112.0,28,376,12345,1,54321
10422,276882265,10422,319664138,42.781873,86.0,20,280,12345,1,54321
10422,376908192,10422,420311315,43.403123,100.0,28,376,12345,1,54321
10422,477269244,10422,520964908,43.695664,101.0,28,376,12345,1,54321
10422,576891212,10422,642049170,65.157958,121.0,36,472,12345,1,54321
10422,677352305,10422,718994053,41.641748,77.0,28,376,12345,1,54321
10422,777105232,10422,817555813,40.450581,99.0,48,616,12345,1,54321
10422,876929617,10422,933126699,56.197082,115.0,32,424,12345,1,54321
10422,976948835,10423,26806834,49.857999,94.0,36,472,12345,1,54321
10423,77153554,10423,132935595,55.782041,106.0,24,328,12345,1,54321
10423,176964814,10423,231595646,54.630832,99.0,36,472,12345,1,54321
10423,276881657,10423,316131446,39.249789,84.0,28,376,12345,1,54321
10423,377152584,10423,420012623,42.860039,104.0,20,280,12345,1,54321
10423,476950136,10423,531865051,54.914915,112.0,52,664,12345,1,54321
10423,577280854,10423,631759436,54.478582,100.0,12,184,12345,1,54321
10423,676947739,10423,721598320,44.650581,90.0,28,376,12345,1,54321
10423,776944499,10423,833003915,56.059416,111.0,24,328,12345,1,54321
10423,877241676,10423,930084008,52.842332,97.0,32,424,12345,1,54321
10423,976892811,10424,37877602,60.984791,108.0,36,472,12345,1,54321
10424,77031904,10424,165529032,88.497128,128.0,36,472,12345,1,54321
10424,176889539,10424,232066080,55.176541,66.0,24,328,12345,1,54321
10424,276903508,10424,334230507,57.326999,102.0,28,376,12345,1,54321
10424,377112309,10424,435791767,58.679458,102.0,28,376,12345,1,54321
10424,476913361,10424,518325275,41.411914,82.0,16,232,12345,1,54321
10424,577076663,10424,623411619,46.334956,105.0,44,568,12345,1,54321
10424,677019465,10424,720193629,43.174164,97.0,28,376,12345,1,54321
10424,777272600,10424,833904849,56.632249,114.0,36,472,12345,1,54321
10424,876929860,10424,935805317,58.875457,102.0,28,376,12345,1,54321
10424,976924286,10425,32528119,55.603833,97.0,32,424,12345,1,54321
10425,77267255,10425,135982587,58.715332,103.0,32,424,12345,1,54321
10425,177021932,10425,235577722,58.55579,100.0,28,376,12345,1,54321
10425,276939067,10425,321894439,44.955372,86.0,20,280,12345,1,54321
10425,376898493,10425,421785325,44.886832,100.0,32,424,12345,1,54321
10425,477063837,10425,535670669,58.606832,114.0,20,280,12345,1,54321
10425,576963763,10425,639046096,62.082333,103.0,36,472,12345,1,54321
10425,676912982,10425,739364273,62.451291,100.0,44,568,12345,1,54321
10425,777045075,10425,821589490,44.544415,83.0,32,424,12345,1,54321
10425,877030169,10425,938671793,61.641624,117.0,36,472,12345,1,54321
10425,977002429,10426,38189053,61.186624,99.0,24,328,12345,1,54321
10426,77373689,10426,131980021,54.606332,94.0,24,328,12345,1,54321
10426,177059824,10426,238345615,61.285791,106.0,44,568,12345,1,54321
10426,276886542,10426,333882791,56.996249,96.0,28,376,12345,1,54321
10426,377111969,10426,434925468,57.813499,101.0,44,568,12345,1,54321
10426,477030270,10426,517184810,40.15454,82.0,28,376,12345,1,54321
10426,576875072,10426,624067237,47.192165,107.0,20,280,12345,1,54321
10426,677050041,10426,731719373,54.669332,108.0,20,280,12345,1,54321
10426,777031342,10426,817296715,40.265373,85.0,20,280,12345,1,54321
10426,876942644,10426,922484267,45.541623,105.0,28,376,12345,1,54321
10426,977089904,10427,19054818,41.964914,97.0,24,328,12345,1,54321
10427,76876081,10427,132604746,55.728665,114.0,28,376,12345,1,54321
10427,177206799,10427,240220424,63.013625,107.0,40,520,12345,1,54321
10427,276906351,10427,332702683,55.796332,93.0,28,376,12345,1,54321
10427,376903111,10427,431319276,54.416165,98.0,20,280,12345,1,54321
10427,477276121,10427,531519036,54.242915,101.0,28,376,12345,1,54321
10427,576911214,10427,627883963,50.972749,96.0,40,520,12345,1,54321
10427,676977974,10427,740306016,63.328042,112.0,32,424,12345,1,54321
10427,777117068,10427,833150817,56.033749,93.0,32,424,12345,1,54321
10427,877090203,10427,918721159,41.630956,86.0,32,424,12345,1,54321
10427,976911671,10428,32936962,56.025291,114.0,32,424,12345,1,54321
10428,77009931,10428,136982931,59.973,104.0,36,472,12345,1,54321
10428,176937858,10428,219531606,42.593748,83.0,20,280,12345,1,54321
10428,276992951,10428,332650450,55.657499,113.0,36,472,12345,1,54321
10428,376915920,10428,466809255,89.893335,134.0,36,472,12345,1,54321
10428,477123846,10428,538981013,61.857167,72.0,20,280,12345,1,54321
10428,576991106,10428,640113815,63.122709,101.0,32,424,12345,1,54321
10428,676939158,10428,741278408,64.33925,101.0,36,472,12345,1,54321
10428,776881377,10428,817765374,40.883997,77.0,32,424,12345,1,54321
10428,876955137,10428,941625720,64.670583,124.0,20,280,12345,1,54321
10428,976907563,10429,18363519,41.455956,76.0,16,232,12345,1,54321
10429,77433115,10429,139385073,61.951958,121.0,28,376,12345,1,54321
10429,177104375,10429,219965873,42.861498,81.0,28,376,12345,1,54321
10429,276962010,10429,332459092,55.497082,112.0,32,424,12345,1,54321
10429,376876812,10429,431263811,54.386999,99.0,28,376,12345,1,54321
10429,477021447,10429,518202944,41.181497,87.0,32,424,12345,1,54321
10429,576988457,10429,631647289,54.658832,114.0,20,280,12345,1,54321
10429,677086425,10429,721621215,44.53479,90.0,20,280,12345,1,54321
10429,776924227,10429,821116892,44.192665,99.0,28,376,12345,1,54321
10429,877290820,10429,931432819,54.141999,110.0,28,376,12345,1,54321
10429,977072914,10430,39840955,62.768041,109.0,36,472,12345,1,54321
10430,77009299,10430,154360092,77.350793,114.0,32,424,12345,1,54321
10430,176878017,10430,233332933,56.454916,79.0,40,520,12345,1,54321
10430,276917361,10430,330453276,53.535915,97.0,36,472,12345,1,54321
10430,377033121,10430,435548662,58.515541,106.0,20,280,12345,1,54321
10430,476892797,10430,521003212,44.110415,85.0,48,616,12345,1,54321
10430,576949057,10430,621686555,44.737498,101.0,28,376,12345,1,54321
10430,677394693,10430,718323023,40.92833,96.0,44,568,12345,1,54321
10430,777368119,10430,833923077,56.554958,116.0,28,376,12345,1,54321
10430,877140879,10430,918675877,41.534998,85.0,52,664,12345,1,54321
10430,977021264,10431,18721929,41.700665,100.0,24,328,12345,1,54321
10431,77393691,10431,151373109,73.979418,132.0,48,616,12345,1,54321
10431,177076909,10431,233902533,56.825624,83.0,12,184,12345,1,54321
