stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
10423,476950136,10423531987843,world,52,1,52,13,1,True,True,0.0
10423,577280854,10423631816603,world,12,1,12,3,1,True,True,0.0
10423,676947739,10423721409029,world,28,1,28,7,1,True,True,0.0
10423,776944499,10423833068082,world,24,1,24,6,1,True,True,0.0
10423,877241676,10423930140883,world,32,1,32,8,1,True,True,0.0
10423,976892811,10424037935352,world,36,1,36,9,1,True,True,0.0
10424,77031904,10424165463698,world,36,1,36,9,1,True,True,0.0
10424,176889539,10424231869497,world,24,1,24,6,1,True,True,0.0
10424,276903508,10424334213590,world,28,1,28,7,1,True,True,0.0
10424,377112309,10424435742184,world,28,1,28,7,1,True,True,0.0
10424,476913361,10424518256150,world,16,1,16,4,1,True,True,0.0
10424,577076663,10424623340161,world,44,1,44,11,1,True,True,0.0
10424,677019465,10424720165921,world,28,1,28,7,1,True,True,0.0
10424,777272600,10424833913599,world,36,1,36,9,1,True,True,0.0
10424,876929860,10424935778484,world,28,1,28,7,1,True,True,0.0
10424,976924286,10425032626119,world,32,1,32,8,1,True,True,0.0
10425,77267255,10425135872046,world,32,1,32,8,1,True,True,0.0
10425,177021932,10425235593764,world,28,1,28,7,1,True,True,0.0
10425,276939067,10425321822398,world,20,1,20,5,1,True,True,0.0
10425,376898493,10425421806325,world,32,1,32,8,1,True,True,0.0
10425,477063837,10425535611461,world,20,1,20,5,1,True,True,0.0
10425,576963763,10425639240055,world,36,1,36,9,1,True,True,0.0
10425,676912982,10425739298648,world,44,1,44,11,1,True,True,0.0
10425,777045075,10425821553031,world,32,1,32,8,1,True,True,0.0
10425,877030169,10425938508460,world,36,1,36,9,1,True,True,0.0
10425,977002429,10426038097178,world,24,1,24,6,1,True,True,0.0
10426,77373689,10426131893688,world,24,1,24,6,1,True,True,0.0
10426,177059824,10426238248490,world,44,1,44,11,1,True,True,0.0
10426,276886542,10426333785374,world,28,1,28,7,1,True,True,0.0
10426,377111969,10426434740551,world,44,1,44,11,1,True,True,0.0
10426,477030270,10426517153310,world,28,1,28,7,1,True,True,0.0
10426,576875072,10426624013862,world,20,1,20,5,1,True,True,0.0
10426,677050041,10426731770706,world,20,1,20,5,1,True,True,0.0
10426,777031342,10426817207465,world,20,1,20,5,1,True,True,0.0
10426,876942644,10426922320934,world,28,1,28,7,1,True,True,0.0
10426,977089904,10427019050443,world,24,1,24,6,1,True,True,0.0
