component_id,cell_index,x_index,y_index,x_m,y_m,reference_elevation_m,candidate_elevation_m,elevation_delta_m,reference_observations,candidate_observations
1,2421,21,24,0.855,0.765,-0.6355497241020203,-0.5153733193874359,0.12017640471458435,141,142
1,2521,21,25,0.855,0.735,-0.6355497241020203,-0.5153733193874359,0.12017640471458435,141,142
1,2621,21,26,0.855,0.7050000000000001,-0.6355497241020203,-0.5153733193874359,0.12017640471458435,141,142
1,2721,21,27,0.855,0.675,-0.6609205603599548,-0.5168127119541168,0.144107848405838,141,142
2,2822,22,28,0.8250000000000001,0.645,-0.6451928019523621,-0.5151631534099579,0.13002964854240417,141,142
2,2922,22,29,0.8250000000000001,0.615,-0.651734471321106,-0.5162631273269653,0.13547134399414062,141,142
