cell_index,x_index,y_index,x_m,y_m,elevation_observations,elevation_median,slope_observations,slope_median,accessibility_observations,accessibility_median
30,30,0,0.5850000000000001,1.485,0,nan,142,0.0,142,0.0
31,31,0,0.555,1.485,0,nan,142,0.0,142,0.0
32,32,0,0.525,1.485,0,nan,142,0.0,142,0.0
33,33,0,0.4950000000000001,1.485,0,nan,142,0.0,142,0.0
34,34,0,0.4650000000000001,1.485,0,nan,142,0.0,142,0.0
35,35,0,0.43500000000000005,1.485,0,nan,142,0.0,142,0.0
36,36,0,0.405,1.485,0,nan,142,0.0,142,0.0
37,37,0,0.375,1.485,0,nan,142,0.0,142,0.0
38,38,0,0.345,1.485,0,nan,142,0.0,142,0.0
39,39,0,0.31499999999999995,1.485,0,nan,142,0.0,142,0.0
40,40,0,0.28500000000000014,1.485,0,nan,142,0.0,142,0.0
41,41,0,0.2550000000000001,1.485,0,nan,142,0.0,142,0.0
42,42,0,0.2250000000000001,1.485,0,nan,142,0.0,142,0.0
43,43,0,0.19500000000000006,1.485,0,nan,142,0.0,142,0.0
44,44,0,0.16500000000000004,1.485,0,nan,142,0.0,142,0.0
45,45,0,0.135,1.485,0,nan,142,0.0,142,0.0
46,46,0,0.10499999999999998,1.485,0,nan,142,0.0,142,0.0
47,47,0,0.07499999999999996,1.485,0,nan,142,0.0,142,0.0
48,48,0,0.04500000000000015,1.485,0,nan,142,0.0,142,0.0
49,49,0,0.015000000000000124,1.485,0,nan,142,0.0,142,0.0
50,50,0,-0.014999999999999902,1.485,0,nan,142,0.0,142,0.0
51,51,0,-0.04499999999999993,1.485,0,nan,142,0.0,142,0.0
52,52,0,-0.07499999999999996,1.485,0,nan,142,0.0,142,0.0
53,53,0,-0.10499999999999998,1.485,0,nan,142,0.0,142,0.0
54,54,0,-0.135,1.485,0,nan,142,0.0,142,0.0
55,55,0,-0.16500000000000004,1.485,0,nan,142,0.0,142,0.0
56,56,0,-0.19499999999999984,1.485,0,nan,142,0.0,142,0.0
57,57,0,-0.22499999999999987,1.485,0,nan,142,0.0,142,0.0
58,58,0,-0.2549999999999999,1.485,0,nan,142,0.0,142,0.0
59,59,0,-0.2849999999999999,1.485,0,nan,142,0.0,142,0.0
60,60,0,-0.31499999999999995,1.485,0,nan,142,0.0,142,0.0
61,61,0,-0.345,1.485,0,nan,142,0.0,142,0.0
62,62,0,-0.375,1.485,0,nan,142,0.0,142,0.0
63,63,0,-0.405,1.485,0,nan,142,0.0,142,0.0
64,64,0,-0.43499999999999983,1.485,0,nan,142,0.0,142,0.0
65,65,0,-0.46499999999999986,1.485,0,nan,142,0.0,142,0.0
66,66,0,-0.4949999999999999,1.485,0,nan,142,0.0,142,0.0
67,67,0,-0.5249999999999999,1.485,0,nan,142,0.0,142,0.0
68,68,0,-0.5549999999999997,1.485,0,nan,142,0.0,142,0.0
69,69,0,-0.585,1.485,0,nan,142,0.0,142,0.0
70,70,0,-0.6149999999999998,1.485,0,nan,142,0.0,142,0.0
71,71,0,-0.645,1.485,0,nan,142,0.0,142,0.0
72,72,0,-0.6749999999999998,1.485,0,nan,142,0.0,142,0.0
73,73,0,-0.7050000000000001,1.485,0,nan,142,0.0,142,0.0
74,74,0,-0.7349999999999999,1.485,0,nan,142,0.0,142,0.0
75,75,0,-0.7650000000000001,1.485,0,nan,142,0.0,142,0.0
76,76,0,-0.7949999999999999,1.485,0,nan,142,0.0,142,0.0
77,77,0,-0.8249999999999997,1.485,0,nan,142,0.0,142,0.0
78,78,0,-0.855,1.485,0,nan,142,0.0,142,0.0
79,79,0,-0.8849999999999998,1.485,0,nan,142,0.0,142,0.0
80,80,0,-0.915,1.485,0,nan,142,0.0,142,0.0
81,81,0,-0.9449999999999998,1.485,0,nan,142,0.0,142,0.0
82,82,0,-0.9750000000000001,1.485,0,nan,142,0.0,142,0.0
83,83,0,-1.005,1.485,0,nan,142,0.0,142,0.0
84,84,0,-1.0349999999999997,1.485,0,nan,142,0.0,142,0.0
85,85,0,-1.065,1.485,0,nan,142,0.0,142,0.0
86,86,0,-1.0949999999999998,1.485,0,nan,142,0.0,142,0.0
87,87,0,-1.125,1.485,0,nan,142,0.0,142,0.0
88,88,0,-1.1549999999999998,1.485,0,nan,142,0.0,142,0.0
89,89,0,-1.185,1.485,0,nan,142,0.0,142,0.0
90,90,0,-1.2149999999999999,1.485,0,nan,142,0.0,142,0.0
91,91,0,-1.245,1.485,0,nan,142,0.0,142,0.0
92,92,0,-1.275,1.485,0,nan,142,0.0,142,0.0
93,93,0,-1.3049999999999997,1.485,0,nan,142,0.0,142,0.0
94,94,0,-1.335,1.485,0,nan,142,0.0,142,0.0
95,95,0,-1.3649999999999998,1.485,0,nan,142,0.0,142,0.0
96,96,0,-1.395,1.485,0,nan,142,0.0,142,0.0
97,97,0,-1.4249999999999998,1.485,0,nan,142,0.0,142,0.0
98,98,0,-1.455,1.485,0,nan,142,0.0,142,0.0
99,99,0,-1.4849999999999999,1.485,0,nan,142,0.0,142,0.0
100,0,1,1.485,1.455,0,nan,142,0.0,142,0.0
101,1,1,1.455,1.455,0,nan,142,0.0,142,0.0
102,2,1,1.425,1.455,0,nan,142,0.0,142,0.0
103,3,1,1.395,1.455,0,nan,142,0.0,142,0.0
104,4,1,1.365,1.455,0,nan,142,0.0,142,0.0
105,5,1,1.335,1.455,0,nan,142,0.0,142,0.0
106,6,1,1.305,1.455,0,nan,142,0.0,142,0.0
107,7,1,1.275,1.455,0,nan,142,0.0,142,0.0
108,8,1,1.245,1.455,0,nan,142,0.0,142,0.0
109,9,1,1.215,1.455,0,nan,142,0.0,142,0.0
110,10,1,1.185,1.455,0,nan,142,0.0,142,0.0
111,11,1,1.155,1.455,0,nan,142,0.0,142,0.0
112,12,1,1.125,1.455,0,nan,142,0.0,142,0.0
113,13,1,1.095,1.455,0,nan,142,0.0,142,0.0
114,14,1,1.065,1.455,0,nan,142,0.0,142,0.0
115,15,1,1.0350000000000001,1.455,0,nan,142,0.0,142,0.0
116,16,1,1.005,1.455,0,nan,142,0.0,142,0.0
117,17,1,0.975,1.455,0,nan,142,0.0,142,0.0
118,18,1,0.9450000000000001,1.455,0,nan,142,0.0,142,0.0
119,19,1,0.915,1.455,0,nan,142,0.0,142,0.0
120,20,1,0.885,1.455,0,nan,142,0.0,142,0.0
121,21,1,0.855,1.455,0,nan,142,0.0,142,0.0
122,22,1,0.8250000000000001,1.455,0,nan,142,0.0,142,0.0
123,23,1,0.795,1.455,0,nan,142,0.0,142,0.0
124,24,1,0.765,1.455,0,nan,142,0.0,142,0.0
125,25,1,0.735,1.455,0,nan,142,0.0,142,0.0
126,26,1,0.7050000000000001,1.455,0,nan,142,0.0,142,0.0
127,27,1,0.675,1.455,0,nan,142,0.0,142,0.0
128,28,1,0.645,1.455,0,nan,142,0.0,142,0.0
129,29,1,0.615,1.455,0,nan,142,0.0,142,0.0
130,30,1,0.5850000000000001,1.455,0,nan,142,0.0,142,0.0
131,31,1,0.555,1.455,0,nan,142,0.0,142,0.0
132,32,1,0.525,1.455,0,nan,142,0.0,142,0.0
133,33,1,0.4950000000000001,1.455,0,nan,142,0.0,142,0.0
134,34,1,0.4650000000000001,1.455,0,nan,142,0.0,142,0.0
135,35,1,0.43500000000000005,1.455,0,nan,142,0.0,142,0.0
136,36,1,0.405,1.455,0,nan,142,0.0,142,0.0
137,37,1,0.375,1.455,0,nan,142,0.0,142,0.0
138,38,1,0.345,1.455,0,nan,142,0.0,142,0.0
139,39,1,0.31499999999999995,1.455,0,nan,142,0.0,142,0.0
140,40,1,0.28500000000000014,1.455,0,nan,142,0.0,142,0.0
141,41,1,0.2550000000000001,1.455,0,nan,142,0.0,142,0.0
142,42,1,0.2250000000000001,1.455,0,nan,142,0.0,142,0.0
143,43,1,0.19500000000000006,1.455,0,nan,142,0.0,142,0.0
144,44,1,0.16500000000000004,1.455,0,nan,142,0.0,142,0.0
145,45,1,0.135,1.455,0,nan,142,0.0,142,0.0
146,46,1,0.10499999999999998,1.455,0,nan,142,0.0,142,0.0
147,47,1,0.07499999999999996,1.455,0,nan,142,0.0,142,0.0
148,48,1,0.04500000000000015,1.455,0,nan,142,0.0,142,0.0
149,49,1,0.015000000000000124,1.455,0,nan,142,0.0,142,0.0
150,50,1,-0.014999999999999902,1.455,0,nan,142,0.0,142,0.0
151,51,1,-0.04499999999999993,1.455,0,nan,142,0.0,142,0.0
152,52,1,-0.07499999999999996,1.455,0,nan,142,0.0,142,0.0
153,53,1,-0.10499999999999998,1.455,0,nan,142,0.0,142,0.0
154,54,1,-0.135,1.455,0,nan,142,0.0,142,0.0
155,55,1,-0.16500000000000004,1.455,0,nan,142,0.0,142,0.0
156,56,1,-0.19499999999999984,1.455,0,nan,142,0.0,142,0.0
157,57,1,-0.22499999999999987,1.455,0,nan,142,0.0,142,0.0
158,58,1,-0.2549999999999999,1.455,0,nan,142,0.0,142,0.0
159,59,1,-0.2849999999999999,1.455,0,nan,142,0.0,142,0.0
160,60,1,-0.31499999999999995,1.455,0,nan,142,0.0,142,0.0
161,61,1,-0.345,1.455,0,nan,142,0.0,142,0.0
162,62,1,-0.375,1.455,0,nan,142,0.0,142,0.0
163,63,1,-0.405,1.455,0,nan,142,0.0,142,0.0
164,64,1,-0.43499999999999983,1.455,0,nan,142,0.0,142,0.0
165,65,1,-0.46499999999999986,1.455,0,nan,142,0.0,142,0.0
166,66,1,-0.4949999999999999,1.455,0,nan,142,0.0,142,0.0
167,67,1,-0.5249999999999999,1.455,0,nan,142,0.0,142,0.0
168,68,1,-0.5549999999999997,1.455,0,nan,142,0.0,142,0.0
169,69,1,-0.585,1.455,0,nan,142,0.0,142,0.0
170,70,1,-0.6149999999999998,1.455,0,nan,142,0.0,142,0.0
171,71,1,-0.645,1.455,0,nan,142,0.0,142,0.0
172,72,1,-0.6749999999999998,1.455,0,nan,142,0.0,142,0.0
173,73,1,-0.7050000000000001,1.455,0,nan,142,0.0,142,0.0
174,74,1,-0.7349999999999999,1.455,0,nan,142,0.0,142,0.0
175,75,1,-0.7650000000000001,1.455,0,nan,142,0.0,142,0.0
176,76,1,-0.7949999999999999,1.455,0,nan,142,0.0,142,0.0
177,77,1,-0.8249999999999997,1.455,0,nan,142,0.0,142,0.0
178,78,1,-0.855,1.455,0,nan,142,0.0,142,0.0
179,79,1,-0.8849999999999998,1.455,0,nan,142,0.0,142,0.0
180,80,1,-0.915,1.455,0,nan,142,0.0,142,0.0
181,81,1,-0.9449999999999998,1.455,0,nan,142,0.0,142,0.0
182,82,1,-0.9750000000000001,1.455,0,nan,142,0.0,142,0.0
183,83,1,-1.005,1.455,0,nan,142,0.0,142,0.0
184,84,1,-1.0349999999999997,1.455,0,nan,142,0.0,142,0.0
185,85,1,-1.065,1.455,0,nan,142,0.0,142,0.0
186,86,1,-1.0949999999999998,1.455,0,nan,142,0.0,142,0.0
187,87,1,-1.125,1.455,0,nan,142,0.0,142,0.0
188,88,1,-1.1549999999999998,1.455,0,nan,142,0.0,142,0.0
189,89,1,-1.185,1.455,0,nan,142,0.0,142,0.0
190,90,1,-1.2149999999999999,1.455,0,nan,142,0.0,142,0.0
191,91,1,-1.245,1.455,0,nan,142,0.0,142,0.0
192,92,1,-1.275,1.455,0,nan,142,0.0,142,0.0
193,93,1,-1.3049999999999997,1.455,0,nan,142,0.0,142,0.0
194,94,1,-1.335,1.455,0,nan,142,0.0,142,0.0
195,95,1,-1.3649999999999998,1.455,0,nan,142,0.0,142,0.0
196,96,1,-1.395,1.455,0,nan,142,0.0,142,0.0
197,97,1,-1.4249999999999998,1.455,0,nan,142,0.0,142,0.0
198,98,1,-1.455,1.455,0,nan,142,0.0,142,0.0
199,99,1,-1.4849999999999999,1.455,0,nan,142,0.0,142,0.0
200,0,2,1.485,1.425,0,nan,142,0.0,142,0.0
201,1,2,1.455,1.425,0,nan,142,0.0,142,0.0
202,2,2,1.425,1.425,0,nan,142,0.0,142,0.0
203,3,2,1.395,1.425,0,nan,142,0.0,142,0.0
204,4,2,1.365,1.425,0,nan,142,0.0,142,0.0
205,5,2,1.335,1.425,0,nan,142,0.0,142,0.0
206,6,2,1.305,1.425,0,nan,142,0.0,142,0.0
207,7,2,1.275,1.425,0,nan,142,0.0,142,0.0
208,8,2,1.245,1.425,0,nan,142,0.0,142,0.0
209,9,2,1.215,1.425,0,nan,142,0.0,142,0.0
210,10,2,1.185,1.425,0,nan,142,0.0,142,0.0
211,11,2,1.155,1.425,0,nan,142,0.0,142,0.0
212,12,2,1.125,1.425,0,nan,142,0.0,142,0.0
213,13,2,1.095,1.425,0,nan,142,0.0,142,0.0
214,14,2,1.065,1.425,0,nan,142,0.0,142,0.0
215,15,2,1.0350000000000001,1.425,0,nan,142,0.0,142,0.0
216,16,2,1.005,1.425,0,nan,142,0.0,142,0.0
217,17,2,0.975,1.425,0,nan,142,0.0,142,0.0
218,18,2,0.9450000000000001,1.425,0,nan,142,0.0,142,0.0
219,19,2,0.915,1.425,0,nan,142,0.0,142,0.0
220,20,2,0.885,1.425,0,nan,142,0.0,142,0.0
221,21,2,0.855,1.425,0,nan,142,0.0,142,0.0
222,22,2,0.8250000000000001,1.425,0,nan,142,0.0,142,0.0
223,23,2,0.795,1.425,0,nan,142,0.0,142,0.0
224,24,2,0.765,1.425,0,nan,142,0.0,142,0.0
225,25,2,0.735,1.425,0,nan,142,0.0,142,0.0
226,26,2,0.7050000000000001,1.425,0,nan,142,0.0,142,0.0
227,27,2,0.675,1.425,0,nan,142,0.0,142,0.0
228,28,2,0.645,1.425,0,nan,142,0.0,142,0.0
229,29,2,0.615,1.425,0,nan,142,0.0,142,0.0
230,30,2,0.5850000000000001,1.425,0,nan,142,0.0,142,0.0
231,31,2,0.555,1.425,0,nan,142,0.0,142,0.0
232,32,2,0.525,1.425,0,nan,142,0.0,142,0.0
233,33,2,0.4950000000000001,1.425,0,nan,142,0.0,142,0.0
234,34,2,0.4650000000000001,1.425,0,nan,142,0.0,142,0.0
235,35,2,0.43500000000000005,1.425,0,nan,142,0.0,142,0.0
236,36,2,0.405,1.425,0,nan,142,0.0,142,0.0
237,37,2,0.375,1.425,0,nan,142,0.0,142,0.0
238,38,2,0.345,1.425,0,nan,142,0.0,142,0.0
239,39,2,0.31499999999999995,1.425,0,nan,142,0.0,142,0.0
240,40,2,0.28500000000000014,1.425,0,nan,142,0.0,142,0.0
241,41,2,0.2550000000000001,1.425,0,nan,142,0.0,142,0.0
242,42,2,0.2250000000000001,1.425,0,nan,142,0.0,142,0.0
243,43,2,0.19500000000000006,1.425,0,nan,142,0.0,142,0.0
