component_id,cells,area_m2,centroid_x_m,centroid_y_m,min_x_m,max_x_m,min_y_m,max_y_m,median_elevation_delta_m,detection_ratio
1,4,0.0036,0.855,0.72,0.84,0.87,0.66,0.78,0.12017640471458435,0.6056338028169014
2,2,0.0018,0.8250000000000001,0.63,0.81,0.8400000000000001,0.6,0.66,0.1327504962682724,0.5422535211267606
