reading from file /home/ysc/x30_gridmap_captures/20260714_142726_mode3_flat_20260714_142726.pcap, link-type EN10MB (Ethernet)
2026-07-14 14:27:40.679589 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:40.784758 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.785184 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:40.863827 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.864185 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:40.977931 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.978388 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:41.066701 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.067139 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:41.181484 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.181886 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:41.279620 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.279982 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:41.368471 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.368878 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:41.485832 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.486221 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:41.587528 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.587931 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:41.685381 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.685813 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:41.776996 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.777479 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:41.886497 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.886938 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:41.984232 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:41.984706 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:42.062682 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.063147 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:42.164746 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.165150 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:42.286456 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.286874 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:42.364326 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.364788 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:42.487660 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.488064 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:42.568353 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.568773 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:42.661735 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.662203 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:42.781960 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.782382 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:42.863416 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:42.863877 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:43.017540 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.017942 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:43.066046 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.066458 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:43.164155 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.164593 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:43.287308 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.287748 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:43.367017 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.367371 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:43.478823 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.479256 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:43.583649 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.584083 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:43.682971 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.683369 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:43.827934 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.828457 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:43.909651 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.910058 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:43.968595 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:43.968994 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
