reading from file /home/ysc/x30_gridmap_captures/20260714_132556_factory_idle.pcap, link-type EN10MB (Ethernet)
2026-07-14 13:25:59.866912 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:59.867272 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 13:25:59.964733 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:59.965218 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:00.076792 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.077239 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:00.177279 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.177720 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:00.281260 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.281742 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:00.384763 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.385260 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:00.482555 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.482968 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:00.602652 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.603060 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:00.680203 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.680602 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:00.786056 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.786461 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 13:26:00.864189 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.864686 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:00.983137 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:00.983569 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 13:26:01.082050 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.082489 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:01.171466 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.171901 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 13:26:01.263491 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.263909 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:01.374494 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.374905 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 13:26:01.463718 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.464135 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:01.565488 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.565893 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:01.678767 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.679167 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:01.783705 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.784180 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:01.903383 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.903819 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:01.980233 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:01.980653 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:02.078164 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.078560 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:02.187363 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.187786 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:02.277978 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.278403 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:02.366726 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.367139 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:02.477413 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.477828 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:02.569963 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.570384 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:02.678995 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.679401 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:02.762950 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.763444 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:02.879145 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.879614 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:02.979021 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:02.979416 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:03.065755 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.066164 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:03.183753 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.184156 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:03.263862 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.264307 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:03.364746 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.365144 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 13:26:03.463845 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.464327 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 13:26:03.614261 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.614724 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:03.662127 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.662584 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:03.776706 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.777188 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:03.885128 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.885527 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:03.981369 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:03.981775 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:04.064818 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.065238 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
