reading from file /home/ysc/x30_gridmap_captures/20260714_150324_mode3_known_step.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:03:27.367077 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.367499 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 15:03:27.484561 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.484939 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 15:03:27.566627 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.567061 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:27.664907 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.665278 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:27.820832 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.821304 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:27.863723 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.864186 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:27.965928 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:27.966404 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:28.068507 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.069043 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:28.177801 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.178206 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:28.279176 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.279591 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:28.362937 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.363343 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:28.478516 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.478871 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:28.568619 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.568985 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:28.682241 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.682589 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:28.777633 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.778080 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:28.862920 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:28.863324 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:28.977002 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
