reading from file /home/ysc/x30_gridmap_captures/20260714_160857_mode3_measured_step_h022_d029_w035.pcap, link-type EN10MB (Ethernet)
2026-07-14 16:09:11.165361 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.165772 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:11.278913 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.279336 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:11.386529 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.387061 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 16:09:11.479010 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.479424 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:11.577641 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.578107 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:11.677826 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.678243 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:11.774206 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.774645 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 16:09:11.886630 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.887078 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:11.979456 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.979861 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:12.065046 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.065513 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:12.179257 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.179690 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:12.283303 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.283744 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:12.365852 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.366265 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:12.478957 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.479302 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:12.613116 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.613563 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:12.685311 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.685767 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:12.786442 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.786849 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:12.887603 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.888068 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:12.964090 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:12.964504 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:13.087932 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.088335 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:13.164689 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.165116 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:13.285692 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.286148 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:13.366271 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.366605 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:13.478765 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.479165 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:13.577571 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.578003 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:13.664529 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.664950 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:13.777954 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.778357 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:13.867927 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.868339 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:13.967423 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:13.967783 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:14.077738 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.078147 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:14.186156 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.186549 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:14.300687 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.301102 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:14.379673 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.380077 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 16:09:14.476776 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.477153 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:14.581887 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.582293 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:14.667305 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.667768 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 616
2026-07-14 16:09:14.767991 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.768414 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:14.864646 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.865086 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:14.980242 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:14.980669 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:15.064997 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:15.065436 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 664
2026-07-14 16:09:15.165029 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:15.165464 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:15.297694 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:15.298113 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 616
2026-07-14 16:09:15.380221 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:15.380630 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
