reading from file /home/ysc/x30_gridmap_captures/20260714_160857_mode3_measured_step_h022_d029_w035.pcap, link-type EN10MB (Ethernet)
2026-07-14 16:09:00.372065 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:00.485121 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.485477 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:00.582727 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.583077 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:00.709521 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.709962 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:00.769702 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.770090 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:00.862605 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.862976 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:00.987101 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.987461 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:01.064976 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.065376 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:01.182099 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.182467 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:01.279469 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.279808 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:01.388419 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.388827 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:01.466801 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.467217 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:01.571009 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.571435 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:01.719059 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.719447 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:01.784438 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.784782 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:01.881126 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.881560 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 664
2026-07-14 16:09:01.977641 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:01.978118 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:02.080172 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.080604 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 16:09:02.180647 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.181078 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:02.281824 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.282209 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:02.382489 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.382977 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:02.466571 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.466957 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:02.584559 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.585040 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:02.688759 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.689158 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
