source_stamp_sec,source_stamp_nsec,pack_time_sec,pack_time_nsec,pack_latency_ms,time_count_ms,point_count,frame_len,head_id,layer_size,end_id
6488,876898633,6488,919013756,42.115123,98.0,32,424,12345,1,54321
6488,976881685,6489,21691516,44.809831,102.5,28,376,12345,1,54321
6489,77038570,6489,132415194,55.376624,111.0,36,472,12345,1,54321
6489,177029496,6489,235824454,58.794958,103.5,36,472,12345,1,54321
6489,276913965,6489,318274546,41.360581,82.5,16,232,12345,1,54321
6489,377045183,6489,426440598,49.395415,108.0,20,280,12345,1,54321
6489,476945985,6489,569229238,92.283253,142.5,16,232,12345,1,54321
6489,577014203,6489,635463828,58.449625,66.5,16,232,12345,1,54321
6489,677050047,6489,718545669,41.495622,83.0,24,328,12345,1,54321
6489,777006848,6489,837459639,60.452791,119.0,20,280,12345,1,54321
6489,876990192,6489,928734690,51.744498,91.0,24,328,12345,1,54321
6489,977105077,6490,19027699,41.922622,90.5,16,232,12345,1,54321
6490,76987504,6490,118828751,41.841247,100.0,20,280,12345,1,54321
6490,176947222,6490,248908306,71.961084,130.0,16,232,12345,1,54321
6490,276899357,6490,315307104,38.407747,66.5,24,328,12345,1,54321
6490,376891450,6490,419081823,42.190373,103.5,16,232,12345,1,54321
6490,476953544,6490,521626000,44.672456,102.5,32,424,12345,1,54321
6490,576882054,6490,636949845,60.067791,115.5,24,328,12345,1,54321
6490,676952314,6490,721846437,44.894123,85.0,44,568,12345,1,54321
6490,777047366,6490,834489573,57.442207,112.5,16,232,12345,1,54321
6490,876905876,6490,919137665,42.231789,84.5,28,376,12345,1,54321
6490,976889219,6491,35119218,58.229999,116.0,28,376,12345,1,54321
6491,77069729,6491,134819645,57.749916,100.0,12,184,12345,1,54321
6491,176916864,6491,235619655,58.702791,100.5,24,328,12345,1,54321
6491,277010749,6491,320178497,43.167748,84.5,16,232,12345,1,54321
6491,376932842,6491,441700259,64.767417,121.5,16,232,12345,1,54321
6491,477033728,6491,513659391,36.625663,72.0,16,232,12345,1,54321
6491,577033404,6491,623044319,46.010915,109.5,32,424,12345,1,54321
6491,676891914,6491,733176497,56.284583,110.0,20,280,12345,1,54321
6491,777164299,6491,832343173,55.178874,99.5,36,472,12345,1,54321
6491,877041476,6491,933594100,56.552624,101.0,24,328,12345,1,54321
6491,976999444,6492,41010861,64.011417,107.5,28,376,12345,1,54321
6492,76899663,6492,118566202,41.666539,77.5,20,280,12345,1,54321
6492,177009881,6492,235014130,58.004249,116.5,20,280,12345,1,54321
6492,276947433,6492,327934473,50.98704,93.0,16,232,12345,1,54321
6492,377062901,6492,419970774,42.907873,92.0,40,520,12345,1,54321
6492,477006286,6492,532589702,55.583416,112.5,16,232,12345,1,54321
6492,576882005,6492,633306587,56.424582,101.0,32,424,12345,1,54321
6492,676895098,6492,736933722,60.038624,103.5,16,232,12345,1,54321
6492,776877566,6492,819492314,42.614748,82.5,32,424,12345,1,54321
6492,876899118,6492,920991158,44.09204,101.5,16,232,12345,1,54321
6492,977027128,6493,35118877,58.091749,114.0,36,472,12345,1,54321
6493,77013388,6493,132682554,55.669166,97.5,24,328,12345,1,54321
6493,177088607,6493,233328856,56.240249,101.0,24,328,12345,1,54321
6493,276914158,6493,319684948,42.77079,86.0,16,232,12345,1,54321
6493,376963418,6493,434025876,57.062458,114.5,20,280,12345,1,54321
6493,476880845,6493,547866887,70.986042,114.0,36,472,12345,1,54321
6493,576952272,6493,622451895,45.499623,74.5,16,232,12345,1,54321
6493,676912574,6493,740647782,63.735208,118.0,44,568,12345,1,54321
6493,777076167,6493,834983874,57.907707,94.5,16,232,12345,1,54321
6493,876925635,6493,932074468,55.148833,97.0,20,280,12345,1,54321
6493,976915979,6494,25078227,48.162248,93.0,24,328,12345,1,54321
6494,76934614,6494,131780988,54.846374,107.0,24,328,12345,1,54321
6494,176900457,6494,234068206,57.167749,102.0,16,232,12345,1,54321
6494,277023509,6494,340016717,62.993208,106.0,20,280,12345,1,54321
6494,376888727,6494,432844601,55.955874,93.0,24,328,12345,1,54321
6494,477017904,6494,533067111,56.049207,100.0,16,232,12345,1,54321
6494,576973831,6494,633330455,56.356624,100.5,20,280,12345,1,54321
6494,676944924,6494,732902840,55.957916,99.5,20,280,12345,1,54321
6494,777081976,6494,840893309,63.811333,108.0,24,328,12345,1,54321
6494,877076111,6494,922702609,45.626498,81.5,24,328,12345,1,54321
6494,977089496,6495,32660078,55.570582,110.0,24,328,12345,1,54321
6495,77020923,6495,139018381,61.997458,106.5,36,472,12345,1,54321
6495,177010683,6495,241161224,64.150541,102.0,28,376,12345,1,54321
6495,276895443,6495,330299233,53.40379,89.5,16,232,12345,1,54321
6495,377073911,6495,432253660,55.179749,102.0,24,328,12345,1,54321
6495,476998921,6495,518178960,41.180039,85.5,16,232,12345,1,54321
6495,576922764,6495,651227974,74.30521,133.0,16,232,12345,1,54321
6495,676984275,6495,716892939,39.908664,66.0,36,472,12345,1,54321
6495,777033243,6495,820135657,43.102414,103.0,12,184,12345,1,54321
6495,876909253,6495,919009501,42.100248,99.0,16,232,12345,1,54321
6495,976930513,6496,39561471,62.630958,120.5,20,280,12345,1,54321
6496,76978023,6496,118650104,41.672081,79.0,20,280,12345,1,54321
6496,176932491,6496,234504782,57.572291,116.0,20,280,12345,1,54321
6496,276919335,6496,335340376,58.421041,101.0,20,280,12345,1,54321
6496,377093137,6496,433495844,56.402707,98.0,16,232,12345,1,54321
6496,476953688,6496,532836646,55.882958,99.5,24,328,12345,1,54321
6496,577081698,6496,620157571,43.075873,87.0,24,328,12345,1,54321
6496,677078167,6496,720279456,43.201289,100.5,24,328,12345,1,54321
6496,776979843,6496,823280675,46.300832,103.0,20,280,12345,1,54321
6496,876915062,6496,937824895,60.909833,114.5,24,328,12345,1,54321
6496,976896947,6497,90126535,113.229588,152.0,16,232,12345,1,54321
6497,76935707,6497,127255414,50.319707,37.5,40,520,12345,1,54321
6497,177115342,6497,218088589,40.973247,90.5,24,328,12345,1,54321
6497,276972685,6497,324659225,47.68654,106.5,36,472,12345,1,54321
6497,376993945,6497,425001902,48.007957,100.5,28,376,12345,1,54321
6497,477027455,6497,518638286,41.610831,93.5,24,328,12345,1,54321
6497,576934965,6497,633528714,56.593749,115.0,20,280,12345,1,54321
6497,676929975,6497,717171431,40.241456,83.5,20,280,12345,1,54321
6497,776965819,6497,818354983,41.389164,101.5,28,376,12345,1,54321
6497,876992912,6497,936611828,59.618916,118.0,24,328,12345,1,54321
6497,977007756,6498,35637922,58.630166,99.0,20,280,12345,1,54321
6498,76907099,6498,134826765,57.919666,99.5,24,328,12345,1,54321
