stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
6492,76899663,6492118614035,world,20,1,20,5,1,True,True,0.0
6492,177009881,6492234804714,world,20,1,20,5,1,True,True,0.0
6492,276947433,6492327944098,world,16,1,16,4,1,True,True,0.0
6492,377062901,6492419868982,world,40,1,40,10,1,True,True,0.0
6492,477006286,6492532830327,world,16,1,16,4,1,True,True,0.0
6492,576882005,6492633454462,world,32,1,32,8,1,True,True,0.0
6492,676895098,6492736842431,world,16,1,16,4,1,True,True,0.0
6492,776877566,6492819492897,world,32,1,32,8,1,True,True,0.0
6492,876899118,6492920924658,world,16,1,16,4,1,True,True,0.0
6492,977027128,6493035043044,world,36,1,36,9,1,True,True,0.0
6493,77013388,6493132958179,world,24,1,24,6,1,True,True,0.0
6493,177088607,6493233324772,world,24,1,24,6,1,True,True,0.0
6493,276914158,6493319770698,world,16,1,16,4,1,True,True,0.0
6493,376963418,6493433962293,world,20,1,20,5,1,True,True,0.0
6493,476880845,6493547806804,world,36,1,36,9,1,True,True,0.0
6493,576952272,6493622317436,world,16,1,16,4,1,True,True,0.0
6493,676912574,6493740336573,world,44,1,44,11,1,True,True,0.0
6493,777076167,6493834756666,world,16,1,16,4,1,True,True,0.0
6493,876925635,6493932737134,world,20,1,20,5,1,True,True,0.0
6493,976915979,6494024992185,world,24,1,24,6,1,True,True,0.0
6494,76934614,6494131742779,world,24,1,24,6,1,True,True,0.0
6494,176900457,6494234053915,world,16,1,16,4,1,True,True,0.0
6494,277023509,6494340269009,world,20,1,20,5,1,True,True,0.0
6494,376888727,6494432843143,world,24,1,24,6,1,True,True,0.0
6494,477017904,6494533314153,world,16,1,16,4,1,True,True,0.0
6494,576973831,6494633268038,world,20,1,20,5,1,True,True,0.0
6494,676944924,6494732997340,world,20,1,20,5,1,True,True,0.0
6494,777081976,6494840845767,world,24,1,24,6,1,True,True,0.0
6494,877076111,6494922679567,world,24,1,24,6,1,True,True,0.0
6494,977089496,6495032606411,world,24,1,24,6,1,True,True,0.0
6495,77020923,6495139088672,world,36,1,36,9,1,True,True,0.0
6495,177010683,6495241027932,world,28,1,28,7,1,True,True,0.0
6495,276895443,6495330246150,world,16,1,16,4,1,True,True,0.0
6495,377073911,6495432133202,world,24,1,24,6,1,True,True,0.0
