component_id,cell_index,x_index,y_index,x_m,y_m,reference_elevation_m,candidate_elevation_m,elevation_delta_m,reference_observations,candidate_observations
1,4514,14,45,1.065,0.135,-0.7831507325172424,-0.5903652310371399,0.19278550148010254,142,103
1,4515,15,45,1.0350000000000001,0.135,-0.7739850580692291,-0.5900202989578247,0.18396475911140442,142,112
1,4516,16,45,1.005,0.135,-0.7641366124153137,-0.5884457230567932,0.1756908893585205,142,141
1,4517,17,45,0.975,0.135,-0.7530823647975922,-0.5904995799064636,0.16258278489112854,142,141
1,4610,10,46,1.185,0.10499999999999998,-0.7936031818389893,-0.5827516615390778,0.2108515202999115,137,94
1,4611,11,46,1.155,0.10499999999999998,-0.7934735715389252,-0.5836638808250427,0.20980969071388245,140,115
1,4612,12,46,1.125,0.10499999999999998,-0.7934735715389252,-0.5837394893169403,0.20973408222198486,140,122
1,4613,13,46,1.095,0.10499999999999998,-0.7933769822120667,-0.5836638808250427,0.20971310138702393,141,139
1,4614,14,46,1.065,0.10499999999999998,-0.7832265794277191,-0.5845375657081604,0.19868901371955872,142,138
1,4615,15,46,1.0350000000000001,0.10499999999999998,-0.7741256356239319,-0.5851130485534668,0.1890125870704651,142,141
1,4616,16,46,1.005,0.10499999999999998,-0.7644511461257935,-0.5854164958000183,0.17903465032577515,142,141
1,4617,17,46,0.975,0.10499999999999998,-0.7537022829055786,-0.585666298866272,0.16803598403930664,142,141
1,4618,18,46,0.9450000000000001,0.10499999999999998,-0.7413612306118011,-0.6552789807319641,0.08608224987983704,142,141
1,4710,10,47,1.185,0.07499999999999996,-0.794015645980835,-0.5826002955436707,0.2114153504371643,137,110
1,4711,11,47,1.155,0.07499999999999996,-0.7936031222343445,-0.5834434926509857,0.21015962958335876,140,116
1,4712,12,47,1.125,0.07499999999999996,-0.7936031222343445,-0.5836388468742371,0.20996427536010742,140,122
1,4713,13,47,1.095,0.07499999999999996,-0.7936030626296997,-0.5834625959396362,0.21014046669006348,141,139
1,4714,14,47,1.065,0.07499999999999996,-0.7833552956581116,-0.5845375657081604,0.19881772994995117,142,138
1,4715,15,47,1.0350000000000001,0.07499999999999996,-0.7743922472000122,-0.5851130485534668,0.1892791986465454,142,141
1,4716,16,47,1.005,0.07499999999999996,-0.7644511461257935,-0.5853723287582397,0.1790788173675537,142,141
1,4717,17,47,0.975,0.07499999999999996,-0.7535726726055145,-0.5856297612190247,0.16794291138648987,142,141
1,4718,18,47,0.9450000000000001,0.07499999999999996,-0.7412517368793488,-0.6552789807319641,0.08597275614738464,142,141
1,4810,10,48,1.185,0.04500000000000015,-0.7940238118171692,-0.5831336677074432,0.21089014410972595,137,114
1,4811,11,48,1.155,0.04500000000000015,-0.7938936948776245,-0.5833943486213684,0.2104993462562561,140,118
1,4812,12,48,1.125,0.04500000000000015,-0.7938936948776245,-0.5834243893623352,0.2104693055152893,140,123
1,4813,13,48,1.095,0.04500000000000015,-0.7938069105148315,-0.5834434926509857,0.21036341786384583,141,140
1,4814,14,48,1.065,0.04500000000000015,-0.7833661735057831,-0.5841977596282959,0.19916841387748718,142,140
1,4815,15,48,1.0350000000000001,0.04500000000000015,-0.7742035090923309,-0.5848702192306519,0.18933328986167908,142,141
1,4816,16,48,1.005,0.04500000000000015,-0.7644511461257935,-0.5852161049842834,0.17923504114151,142,141
1,4817,17,48,0.975,0.04500000000000015,-0.7531067728996277,-0.5854164958000183,0.16769027709960938,142,141
1,4818,18,48,0.9450000000000001,0.04500000000000015,-0.7406531870365143,-0.6388766765594482,0.10177651047706604,142,141
1,4910,10,49,1.185,0.015000000000000124,-0.7936763167381287,-0.5830287933349609,0.21064752340316772,137,123
1,4911,11,49,1.155,0.015000000000000124,-0.7935866117477417,-0.5830287933349609,0.21055781841278076,140,125
1,4912,12,49,1.125,0.015000000000000124,-0.7935866117477417,-0.5826002955436707,0.21098631620407104,140,123
1,4913,13,49,1.095,0.015000000000000124,-0.7935701608657837,-0.5826002955436707,0.21096986532211304,141,140
1,4914,14,49,1.065,0.015000000000000124,-0.7832610607147217,-0.5833987891674042,0.1998622715473175,142,140
1,4915,15,49,1.0350000000000001,0.015000000000000124,-0.7740113437175751,-0.5840770602226257,0.18993428349494934,142,141
1,4916,16,49,1.005,0.015000000000000124,-0.7644628882408142,-0.5850346088409424,0.17942827939987183,142,141
1,4917,17,49,0.975,0.015000000000000124,-0.7530353367328644,-0.5851161479949951,0.16791918873786926,142,141
1,4918,18,49,0.9450000000000001,0.015000000000000124,-0.7406531870365143,-0.6378344893455505,0.10281869769096375,142,141
1,5010,10,50,1.185,-0.014999999999999902,-0.7934779524803162,-0.5834243893623352,0.21005356311798096,137,125
1,5011,11,50,1.155,-0.014999999999999902,-0.7932372689247131,-0.5834243893623352,0.20981287956237793,140,127
1,5012,12,50,1.125,-0.014999999999999902,-0.7932372689247131,-0.5829030275344849,0.21033424139022827,140,123
1,5013,13,50,1.095,-0.014999999999999902,-0.7932204008102417,-0.5827516615390778,0.21046873927116394,141,140
1,5014,14,50,1.065,-0.014999999999999902,-0.7830986082553864,-0.5833987891674042,0.19969981908798218,142,140
1,5015,15,50,1.0350000000000001,-0.014999999999999902,-0.7739249467849731,-0.5837518572807312,0.19017308950424194,142,141
1,5016,16,50,1.005,-0.014999999999999902,-0.7647176384925842,-0.584204912185669,0.18051272630691528,142,141
1,5017,17,50,0.975,-0.014999999999999902,-0.752945214509964,-0.5850346088409424,0.1679106056690216,142,141
1,5018,18,50,0.9450000000000001,-0.014999999999999902,-0.7412862181663513,-0.6368647217750549,0.10442149639129639,142,141
1,5110,10,51,1.185,-0.04499999999999993,-0.7934779524803162,-0.5839046537876129,0.20957329869270325,137,128
1,5111,11,51,1.155,-0.04499999999999993,-0.7932416498661041,-0.5838150978088379,0.20942655205726624,140,129
1,5112,12,51,1.125,-0.04499999999999993,-0.7932416498661041,-0.5833987891674042,0.20984286069869995,140,126
1,5113,13,51,1.095,-0.04499999999999993,-0.7932291626930237,-0.5827516615390778,0.21047750115394592,141,140
1,5114,14,51,1.065,-0.04499999999999993,-0.7833701968193054,-0.5833987891674042,0.19997140765190125,142,140
1,5115,15,51,1.0350000000000001,-0.04499999999999993,-0.7739249467849731,-0.5837518572807312,0.19017308950424194,142,141
1,5116,16,51,1.005,-0.04499999999999993,-0.7648323774337769,-0.584204912185669,0.1806274652481079,142,141
1,5117,17,51,0.975,-0.04499999999999993,-0.7529558539390564,-0.5850346088409424,0.167921245098114,142,141
1,5118,18,51,0.9450000000000001,-0.04499999999999993,-0.7414221167564392,-0.6358468532562256,0.10557526350021362,142,141
1,5210,10,52,1.185,-0.07499999999999996,-0.7934779524803162,-0.5839046537876129,0.20957329869270325,137,130
1,5211,11,52,1.155,-0.07499999999999996,-0.7932744026184082,-0.5838150978088379,0.2094593048095703,140,131
1,5212,12,52,1.125,-0.07499999999999996,-0.7932744026184082,-0.5835520923137665,0.20972231030464172,140,128
1,5213,13,52,1.095,-0.07499999999999996,-0.7932541370391846,-0.583138108253479,0.21011602878570557,141,140
1,5214,14,52,1.065,-0.07499999999999996,-0.7834211885929108,-0.5835520923137665,0.1998690962791443,142,140
1,5215,15,52,1.0350000000000001,-0.07499999999999996,-0.7739249467849731,-0.5837518572807312,0.19017308950424194,142,141
1,5216,16,52,1.005,-0.07499999999999996,-0.7648912966251373,-0.584204912185669,0.18068638443946838,142,141
1,5217,17,52,0.975,-0.07499999999999996,-0.7529558539390564,-0.5850346088409424,0.167921245098114,142,141
1,5218,18,52,0.9450000000000001,-0.07499999999999996,-0.7415131628513336,-0.6362061500549316,0.10530701279640198,142,141
1,5310,10,53,1.185,-0.10499999999999998,-0.7932946681976318,-0.5841814875602722,0.20911318063735962,137,132
1,5311,11,53,1.155,-0.10499999999999998,-0.7931967675685883,-0.5841299295425415,0.20906683802604675,140,133
1,5312,12,53,1.125,-0.10499999999999998,-0.7931967675685883,-0.5840924978256226,0.2091042697429657,140,135
1,5313,13,53,1.095,-0.10499999999999998,-0.7931731343269348,-0.5839813351631165,0.20919179916381836,141,140
1,5314,14,53,1.065,-0.10499999999999998,-0.7834211885929108,-0.5842253565788269,0.19919583201408386,142,140
