component_id,cells,area_m2,centroid_x_m,centroid_y_m,min_x_m,max_x_m,min_y_m,max_y_m,median_elevation_delta_m,detection_ratio
1,110,0.09899999999999999,1.0633636363636363,-0.049909090909090854,0.93,1.2,-0.23999999999999988,0.15000000000000002,0.19850075244903564,0.9645390070921985
2,4,0.0036,0.8250000000000001,-0.75,0.81,0.8400000000000001,-0.8099999999999999,-0.6900000000000001,0.10324233770370483,0.5319148936170213
3,2,0.0018,0.795,-0.6299999999999999,0.78,0.81,-0.66,-0.5999999999999998,0.1026085615158081,0.5106382978723404
4,1,0.0009,0.765,-0.5549999999999997,0.75,0.78,-0.5699999999999997,-0.5399999999999997,0.08565440773963928,0.524822695035461
